"reaction","phi","rel_phi","mu","mu_norm","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R"
"ADPS",0.0943,40.8869894775597,0.787018394336665,0.845445867669636,4,1.22499446792953,11.2497233549637,0.503235362116758,3.62119502961436,0.213108388357311,0.350973465172967,0.116692083286893,7.96419833429028
"ADPS",0.0963,41.7541578652068,0.784726395544645,0.842983713136322,4,1.22488822146488,11.2444110751768,0.502944227057641,3.62079435808906,0.213537401875171,0.350536509801832,0.116675924810406,7.95913041769281
"ADPS",0.0983,42.6213262528539,0.782447436910425,0.840535566849329,4,1.22478253479258,11.2391267340474,0.502652714018603,3.62042421243898,0.213955220444451,0.350111663794156,0.116662969837124,7.95405935856736
"ADPS",0.1003,43.4884946405009,0.780181089747881,0.838100968297293,4,1.22468139992874,11.2340699961406,0.502378725763086,3.61999888196865,0.214359533601722,0.349691508115617,0.116647239662119,7.94928347189139
"ADPS",0.1023,44.355663028148,0.77792695064096,0.83567948411495,4,1.2245824836031,11.2291241803988,0.502111877587873,3.61956718208119,0.214752287544397,0.349279684092178,0.116632204903812,7.94462978335425
"ADPS",0.1043,45.2228314157951,0.775684635773252,0.833270701991738,4,1.22448472081868,11.224236038357,0.501847176944145,3.61915473949526,0.21513514193642,0.348878372942411,0.116618808980077,7.94001571662063
"ADPS",0.1063,46.0899998034422,0.773453779917853,0.830874229586663,4,1.22439039985443,11.2195199970042,0.501598214825389,3.61866659523914,0.21550428009746,0.348478835705828,0.116601981477234,7.93566001551596
"ADPS",0.1083,46.9571681910893,0.771234034800104,0.828489692769499,4,1.22429798384191,11.2148991933658,0.501352501710875,3.61821257222371,0.215865359120654,0.348090063904569,0.116587695247666,7.93136785447675
"ADPS",0.1103,47.8243365787363,0.769025068235533,0.826116734694725,4,1.22420762490652,11.2103812435153,0.501114816243664,3.61773342639946,0.216215318756485,0.347707132909911,0.116572856532454,7.92720896020074
"ADPS",0.1123,48.6915049663834,0.766826563040606,0.823755014631413,4,1.22411855644903,11.2059278217293,0.500880530940822,3.6172613931093,0.21655621285099,0.347332310554206,0.116559179489609,7.92310965341695
"ADPS",0.1143,49.5586733540305,0.764638761685558,0.821404793050547,4,1.22403210591278,11.201605295602,0.500651478838091,3.61682558057123,0.216889838736471,0.346967872012597,0.116548280196802,7.91910927986645
"ADPS",0.1163,50.4258417416776,0.762459738340161,0.819064001150158,4,1.22394867270728,11.1974336047972,0.500439442753825,3.61627817042256,0.217210281588502,0.346600972729064,0.116531073750633,7.915382056542
"ADPS",0.1183,51.2930101293246,0.76029085190761,0.816734098717076,4,1.22386559098836,11.1932795555071,0.500223452529762,3.61580163809091,0.217525080301696,0.346246846825165,0.116519051285729,7.91159910418196
"ADPS",0.1203,52.1601785169717,0.758131291518941,0.814414214684223,4,1.22378237193664,11.1891185981241,0.500009981637492,3.61528541016256,0.217829953002328,0.345895503798857,0.116505553194736,7.90784914644787
"ADPS",0.1223,53.0273469046188,0.755980802889405,0.812104075888999,4,1.2237053847944,11.1852692376489,0.499815591495946,3.61476138829699,0.218126949933069,0.345550915458901,0.116491310422498,7.90443369362564
"ADPS",0.1243,53.8945152922659,0.753839141635879,0.809803419805519,4,1.22362828247448,11.1814141216017,0.49962124935077,3.61423284449795,0.218416118135544,0.345211663963399,0.116477675025408,7.90101598795607
"ADPS",0.1263,54.7616836799129,0.751706073853812,0.807511995164386,4,1.22355063937294,11.1775319665532,0.49942754143555,3.61367400347051,0.218696257706145,0.3448755500603,0.116463172756448,7.89760053596323
"ADPS",0.1283,55.62885206756,0.749581374621871,0.805229560346329,4,1.2234789792368,11.1739489580786,0.499247930012679,3.61316667491753,0.218972310955596,0.344550188870881,0.116451419702888,7.89444485292885
"ADPS",0.1303,56.4960204552071,0.747464827013349,0.802955882320215,4,1.22340123336276,11.1700616691165,0.499050900236328,3.61265294473496,0.219239472482532,0.344229665960386,0.116441021899087,7.89097612792665
"ADPS",0.1323,57.3631888428542,0.745356225866051,0.800690740692808,4,1.22333476350288,11.1667381769607,0.498892441976079,3.61206543105458,0.219499428763421,0.343908107021191,0.116425096057502,7.88817390543413
"ADPS",0.1343,58.2303572305013,0.743255368617405,0.798433917863491,4,1.22326420568233,11.1632102856712,0.498717542792379,3.61154068689544,0.219753964659648,0.343597748579784,0.116414061323873,7.88509205126953
"ADPS",0.1363,59.0975256181483,0.741162064470918,0.796185208871226,4,1.22319704353927,11.1598521739073,0.498555900398167,3.61097200568443,0.220000565749969,0.343288533946008,0.116401023239057,7.88223305691716
"ADPS",0.1383,59.9646940057954,0.739076128190393,0.793944414728062,4,1.223132815213,11.1566407582891,0.498409272436187,3.61031509005671,0.220238049725349,0.342977498898778,0.116381678902542,7.87961832621525
"ADPS",0.1403,60.8318623934425,0.736997379690493,0.791711341979303,4,1.22306638515742,11.1533192629766,0.498245282606915,3.60981087099654,0.220475349385736,0.342683351823123,0.116373601825406,7.87672951807351
"ADPS",0.1423,61.6990307810896,0.734925648607484,0.78948580761358,4,1.22300008733094,11.1500043472482,0.498084890759532,3.60926308402369,0.220704623631043,0.342390654430917,0.116363132083202,7.87389218015183
"ADPS",0.1443,62.5661991687367,0.732860768343399,0.787267632664854,4,1.22293947111437,11.1469735566195,0.497945241584035,3.60866073769622,0.220926858846007,0.342098229789436,0.11634891649729,7.87140857579039
"ADPS",0.1463,63.4333675563837,0.730802580992774,0.785056647504918,4,1.22287637539038,11.1438186890531,0.497795510130654,3.60809774010582,0.221144778120991,0.341813287780826,0.116338064202868,7.86875343824228
"ADPS",0.1483,64.3005359440308,0.728750925269102,0.782852678873509,4,1.22281587203934,11.1407936008326,0.497655112878613,3.60751211511428,0.221356563804306,0.341531051863559,0.116325934480531,7.86625725741732
"ADPS",0.1503,65.1677043316779,0.726705656089824,0.780655570917284,4,1.22274682921374,11.1373414596449,0.497488307278263,3.60694430966835,0.221561835104894,0.34125422253343,0.116316867257666,7.86329429131448
"ADPS",0.1523,66.034872719325,0.724666633690009,0.7784651734953,4,1.22269123875709,11.1345619413266,0.497369216776559,3.60626480582395,0.221759855849088,0.340972612950767,0.116299275129602,7.86115147518561
"ADPS",0.1543,66.902041106972,0.72263371003415,0.776281327582038,4,1.22263116220328,11.1315581095054,0.497225731732133,3.60574273016984,0.221958892066238,0.340708173247289,0.116292306555948,7.8586100474158
"ADPS",0.1563,67.7692094946191,0.720606756323572,0.774103894816937,4,1.22257510329555,11.1287551620989,0.497099811845956,3.60514069995403,0.222150761512869,0.340440679558974,0.116280169204494,7.85636107101385
"ADPS",0.1583,68.6363778822662,0.718585643209682,0.771932736248691,4,1.22253105675323,11.1265528389677,0.497013147202497,3.60448592365945,0.222337205795429,0.340173936022486,0.116263244245962,7.85479629314326
"ADPS",0.1603,69.5035462699133,0.71657023775051,0.769767709065849,4,1.22248148879392,11.124074437335,0.496909002875889,3.60384913486651,0.22251864164149,0.339911884639959,0.116248989662852,7.85292275004835
