"reaction","phi","rel_phi","mu","convergence","f.TS","f.AAS","f.R","v.TS","v.AAS","v.R","p.TS","p.AAS","p.R","c.x_S","c.S","c.AA","c.P"
"R",0.0309809619238477,0.070140271482683,0.136587233063766,4,0.999999999821109,0.841884669743584,0.108252599693954,46.4396592333727,39.0968371836866,5.02721384181328,6.16136925265899,29.5041961512955,1.14031849198998,100,53.7592122263588,249.434903816874,36.8058838959445
"R",0.0300957915831663,0.0681362637260349,0.132699919519692,4,1.0000000000182,0.842683557564434,0.106363706623606,45.1179726375167,38.0201736915853,4.79891480498138,5.98065474503452,29.0945953632497,1.08841014374199,100,53.4875904342809,250.348749319882,36.1636602520262
"R",0.029210621242485,0.0661322559693868,0.128811796373564,4,0.999999999849915,0.843498227235822,0.104458432380613,43.7960107604386,36.9418574419754,4.57486262924651,5.80011704193544,28.6782738672132,1.03747610025983,100,53.2106026887914,251.273530250771,35.5158670094085
"R",0.0283254509018036,0.0641282482127387,0.124922851251034,4,1.00000000001397,0.844329421580756,0.10253597086983,42.4737694259451,35.8618531712615,4.35508918452972,5.61976024680448,28.2549465543944,0.987523294543295,100,52.9279966672939,252.209773241715,34.8622300957422
"R",0.0274402805611222,0.0621242404560906,0.121033082741867,4,0.999999999874285,0.845177743800297,0.100595263052384,41.1512481270616,34.7801190509685,4.13962063079611,5.43959037749877,27.8242416958298,0.938557364482158,100,52.6395670651559,253.15804345429,34.2023894378107
"R",0.0265551102204409,0.0601202326994425,0.117142500114251,4,0.999999999962021,0.846044108900051,0.0986354328845703,39.8284500373326,33.696625521985,3.92849641070298,5.25961257295658,27.38584764875,0.890586959047269,100,52.3450029610697,254.118949845263,33.5360471807539
"R",0.0256699398797595,0.0581162249427944,0.113251097936365,4,1.00000000000311,0.846929413505523,0.0966554243151309,38.5053732984838,32.6113332243947,3.72175319456589,5.07983212462727,26.9393920458759,0.843620096641312,100,52.0439994091791,255.093156324733,32.8628442671445
"R",0.0247847695390782,0.0561122171861464,0.109358872703605,4,1.00000000000366,0.847834587325108,0.0946540451977553,37.1820167193619,31.5241998010601,3.5194282910853,4.90025493445481,26.4844554938486,0.79766493893337,100,51.7362403107073,256.0813843233,32.1823753672368
"R",0.0238995991983968,0.0541082094294983,0.105465828772718,4,0.999999999816879,0.848760724208451,0.0926300817651288,35.8583817761577,30.435186090848,3.32156483649894,4.72088711020249,26.0206097230849,0.75273096685638,100,51.4213537068655,257.084418430729,31.4942278001438
"R",0.0230144288577154,0.0521042016728502,0.101571941556438,4,1.00000000003864,0.849708815999224,0.0905819785636171,34.5344601305234,29.3442352275455,3.12819972712827,4.54173485059672,25.5473116164851,0.708826244548011,100,51.0990025734031,258.103124728106,30.7978727116298
"R",0.0221292585170341,0.0501001939162021,0.0976772299115343,4,1.00000000000384,0.850680264559053,0.0885083776984648,33.2102581700493,28.2513112060634,2.93938607356695,4.36280504415723,25.064080864097,0.665962509223847,100,50.768710051229,259.1384415326,30.092848417478
"R",0.0212440881763527,0.048096186159554,0.0937816837563096,4,1.00000000000313,0.851676421504978,0.0864075666710789,31.8857724772451,27.156360600257,2.75517201117778,4.18410462941838,24.5703176717266,0.624150367021827,100,50.4300166893716,260.191410643526,29.3785726681668
"R",0.0203589178356713,0.0460921784029059,0.0898852967025917,4,0.999999999995976,0.852698742089987,0.0842776163749999,30.5610008787582,26.059327006433,2.57560830810638,4.00564129588857,24.0653472538644,0.58340101774703,100,50.0824276880363,261.263182743096,28.6543895675
"R",0.01947374749499,0.0440881706462579,0.0859880644570691,4,0.999999999999724,0.853748991792947,0.0821165364491782,29.2359419153954,24.9601559343929,2.40075428992229,3.82742262316722,23.5484721732919,0.543727596261441,100,49.7253427903042,262.355034816882,27.9196223927206
"R",0.0185885771543086,0.0420841628896098,0.0820899896060938,4,1.00000000010233,0.8548291000411,0.0799220730225863,27.910596468928,23.8587900587025,2.23067272886534,3.64945720177713,23.0189036119168,0.505144013985426,100,49.3581060208188,263.468389186295,27.1735048276793
"R",0.0177034068136273,0.0400801551329617,0.078191041814281,4,0.99999999994863,0.855940989321696,0.0776914311014991,26.5849542154899,22.7551520134473,2.06542313887534,3.47175369100277,22.4756694439303,0.467663439576635,100,48.9800636131577,264.604849794867,26.4150865745097
"R",0.0168182364729459,0.0380761473763136,0.074291237456994,4,0.999999999988572,0.857087225459188,0.0754219013382791,25.2590207350893,21.6491839999012,1.90508336980522,3.29432193338696,21.9178213321131,0.43130318951479,100,48.5903433399904,265.766210201109,25.6434464550149
"R",0.0159330661322645,0.0360721396196655,0.0703905611694646,4,1.00000000004635,0.858270522256691,0.0731101875126115,23.9327907987272,20.5408088569317,1.74973082291395,3.1171718389831,21.3442114433253,0.396080471979518,100,48.1880224484836,266.954513812987,24.8574637542879
"R",0.0150478957915832,0.0340681318630174,0.0664890031277259,4,0.99999999999957,0.859493797040364,0.0707523529232522,22.6062610634171,19.4299411582905,1.59944616103475,2.94031500552769,20.753471761142,0.362013227236088,100,47.7721090061298,268.172090999818,24.0557999939057
"R",0.0141627254509018,0.0320641241063694,0.0625865621976728,4,1.00000000005691,0.860760843245736,0.0683443185087594,21.2794311484198,18.316501098061,1.45432822001005,2.76376294368433,20.144181847603,0.329123501690821,100,47.3413133157999,269.421618410572,23.2370682929782
"R",0.0132775551102204,0.0300601163497213,0.0586831997922811,4,1.0000000000745,0.862075479263736,0.0658807393238853,19.952287930862,17.2003781791245,1.31447147999029,2.58752839683773,19.5144906263925,0.297432346890763,100,46.8943370756588,270.706211579549,22.399451370121
"R",0.0123923847695391,0.0280561085930732,0.0547789307900016,4,1.00000000013876,0.863442734813904,0.0633559782346638,18.6248364711849,16.0814797359102,1.17999473392883,2.41162612405861,18.8624401684485,0.266966307278613,100,46.42947021045,272.029497236942,21.5410325997857
"R",0.0115072144288577,0.0260521008364251,0.0508737285408358,4,0.999999999998569,0.864868245843272,0.0607630130407985,17.2970677038594,14.9596846032906,1.05102195045869,2.23607142989599,18.185599917752,0.237753086223548,100,45.9447964128008,273.395779152841,20.6594244338715
"R",0.0106220440881764,0.024048093079777,0.0469675894289155,4,1.00000000013297,0.866358840466514,0.058093546955945,15.9689804079547,13.8348673478285,0.927694713044725,2.06088222833237,17.4810993774009,0.209824359288018,100,45.4379942865966,274.810199793593,19.7518059650213
"R",0.00973687374749499,0.0220440853231289,0.043060454603546,4,0.999999998275649,0.867922842088278,0.055337486022492,14.6405545399602,12.7068717279818,0.810171483613598,1.8860760996982,16.7454535438342,0.183215604114854,100,44.9062331037063,276.279021062367,18.8147452476473
"R",0.00885170340681363,0.0200400775664808,0.039152364044609,4,1.00000000183602,0.869570212157925,0.0524821820556998,13.3118037996077,11.5755480329767,0.698632509218069,1.71167827501519,15.9742964158315,0.157967208091208,100,44.346128490551,277.809930234757,17.8439418989379
"R",0.00796653306613226,0.0180360698098328,0.0352432087979024,4,0.999999999905704,0.871313864814247,0.0495119397690632,11.9826909901569,10.440684798493,0.593286274631889,1.53770995278488,15.1622236470819,0.13412592161472,100,43.7532859310954,279.412654515363,16.8340595214815
"R",0.0070813627254509,0.0160320620531847,0.0313330234684177,4,1.00000000000327,0.873170442989649,0.0464067460999217,10.6532279792968,9.30208379392193,0.494381645978194,1.36420290200629,14.3023431723259,0.111747599641199,100,43.1220493846312,281.099656942507,15.7782936739734
"R",0.00619619238476954,0.0140280542965366,0.0274217440838623,4,1.0000000000004,0.875161720591274,0.0431396756934033,9.32339298851688,8.1594766495758,0.402208149886608,1.19119047898168,13.3854020010874,0.0908972556880756,100,42.4450149991024,282.887495265276,14.6674897357571
"R",0.00531102204408818,0.0120240465398885,0.0235093235092921,4,0.99999999999955,0.877317718938999,0.0396738780798046,7.99316999315573,7.0125496654902,0.317120051779756,1.01871405351823,12.3987499985331,0.0716544950821991,100,41.7119755605875,284.798905892126,13.4891185471336
"R",0.00442585170340681,0.0100200387832404,0.0195956992877007,4,0.999999999889391,0.879682022007258,0.0359566247511968,6.66253775708129,5.86091468649725,0.23956237004855,0.84682442721458,11.3243086098955,0.0541193782968385,100,40.9081124799251,286.866635067061,12.2252524154069
"R",0.00354068136272545,0.00801603102659234,0.0156807915273464,4,0.999999999998459,0.882319939558102,0.0319053582968043,5.33146911928957,4.70406151109471,0.170102432499544,0.675588546952481,10.1338137454267,0.0384195285343414,100,40.0112205497213,289.140957628841,10.8478218209135
"R",0.00265551102204409,0.00601202326994425,0.0117644862728154,4,0.999999999996293,0.885344207086785,0.0273838168834054,3.99992533274242,3.54131072213631,0.109533222859519,0.505094840337195,8.78066945999887,0.0247334400217912,100,38.9829695892327,291.706532669149,9.31049774035785
"R",0.00177034068136273,0.00400801551329617,0.00784661460430999,4,1.00000000001498,0.888972258718532,0.022123821732742,2.66784896550535,2.37164372074967,0.0590230149218365,0.335475999576625,7.17329918874248,0.0133242008131722,100,37.7494320407912,294.728468575169,7.52209938913227
"R",0.000885170340681363,0.00200400775664808,0.00392687894352663,4,0.999999999999853,0.893766025674945,0.0154336015801545,1.33513884079886,1.19330173546522,0.0206060009230819,0.166960503400837,5.07581392186138,0.00465011199029736,100,36.1195512704688,298.633024192229,5.24742453725252
"R",0,0,4.4346779537786e-06,4,1.00000000000165,0.905253592242211,0.000502044131901145,0.00150779050428721,0.00136493277035244,7.56977374812413e-07,0.000186042929141949,0.170508791221929,1.70695318476893e-07,100,32.213778638209,307.615526357505,0.170695004846389
"R",0.4417,0.999999870567394,1.51228548606096,4,1.00000000069488,0.847387007581236,0.77585579051846,514.177065618017,435.706964698189,398.927253434323,67.7980441492453,79.4764385233233,116.516486103708,100,51.8884176586381,24.3206138013438,263.790968776276
"R",0.4467,1.01131976948711,1.51192001960761,4,1.00000000053399,0.848906604249091,0.780568183312968,514.052806941087,436.382822512047,401.25326542667,67.6658147635813,79.1762330671341,118.551134495694,100,51.3717547368665,23.235063118282,265.393182326409
"R",0.4517,1.02263966840682,1.51083428876521,4,0.999999999934178,0.850385180718886,0.785085776539421,513.683658146359,436.828970493883,403.28573367799,67.5046652755209,78.8525953494514,120.571903398431,100,50.8690385331993,22.2017974210182,266.929164023403
"R",0.4567,1.03395956732653,1.50904597771079,4,0.999999999905773,0.851821503257202,0.789412417356936,513.075632373323,437.048856494065,405.028275276928,67.3156258957044,78.5062147886657,122.578381216988,100,50.3806888605143,21.2190892060904,268.400221901358
"R",0.4617,1.04527946624624,1.50657471417255,4,0.999999999800651,0.853214711372221,0.793552667661722,512.235402716552,437.046781370561,406.485770377529,67.0997701145431,78.1378263654077,124.570310525035,100,49.9069980656664,20.2850948615698,269.807907004985
"R",0.4667,1.05659936516596,1.50344173568434,4,1.00000000001583,0.854564278842416,0.797511647731338,511.170190140769,436.82778489647,407.664180603851,66.858202927368,77.7482040299311,126.547553271356,100,49.4481451989622,19.3978945777667,271.153960228655
"R",0.4717,1.06791926408567,1.49966955766565,4,0.999999999758146,0.855869983542082,0.801294931327526,509.887649483001,436.397534276872,408.57038917605,66.5920481050796,77.3381503155796,128.5100782307,100,49.0042055134619,18.5555177529489,272.440276651359
"R",0.4767,1.07923916300538,1.49528164428725,4,1.00000000000937,0.857131897610756,0.804908471379065,508.395759062426,435.762221698356,409.212053278704,66.3024350978896,76.9084899312292,130.457955239763,100,48.5751548155278,17.7559649187748,273.668880268882
"R",0.4817,1.09055906192509,1.49030211393215,4,0.999999999642692,0.858350325194383,0.808358468776839,506.702718555883,434.928443404724,409.597433843248,65.9904907009185,76.4600554253495,132.391333257857,100,48.1608893124252,16.9972311819649,274.841879384125
"R",0.4867,1.10187896084481,1.48475544974557,4,0.999999999929353,0.859525800346471,0.811651320902902,504.81685287783,433.903109528857,409.735265481283,65.6573277910005,75.9936840433003,134.310437272686,100,47.7612278581801,16.2773230108133,275.961449106987
"R",0.4917,1.11319885976452,1.47866625278374,4,1.00000000001564,0.860659039998618,0.814793523877663,502.746525954334,432.693342383731,409.634613493179,65.3040381982223,75.5102081587827,136.2155517614,100,47.3759264057867,15.5942754811248,277.029798118405
"R",0.4967,1.12451875868423,1.47205901912738,4,1.00000000002791,0.861750906952319,0.817791596487101,500.500066517276,431.306386238922,409.304748427641,64.9316870333581,75.0104465598826,138.107009212374,100,47.0046916457002,14.946165558174,278.049142805614
"R",0.5017,1.13583865760394,1.46495794789614,4,1.00000000000565,0.862802402683653,0.820652040682969,498.085702287504,429.749540673604,408.75504801494,64.5413056351077,74.4952044131258,139.985183783976,100,46.6471830894795,14.3311230802326,279.021693832209
"R",0.5067,1.14715855652366,1.45738678294067,4,0.999999999999877,0.863814623753823,0.823381271783038,495.511506199767,428.030085293695,407.994894157943,64.1338888832028,73.9652647826457,141.850478740385,100,46.3030279236584,13.7473396700669,279.949632406233
"R",0.5117,1.15847845544337,1.44936868283762,4,0.999999999273087,0.864788740545605,0.825985577763297,492.785351806578,426.155224057911,407.033593821124,63.7103919572779,73.4213860021889,143.703318480054,100,45.9718279673439,13.1930753459846,280.835096439521
"R",0.5167,1.16979835436308,1.44092610641081,4,0.999999999896367,0.865725992743445,0.828471103079096,489.914876128904,424.132042540431,405.880317883434,63.27172713768,72.8643014433242,145.544146465889,100,45.6531624319936,12.6666624858787,281.680175046893
"R",0.5217,1.18111825328279,1.43208075672318,4,0.999999999856278,0.866627639179453,0.830843785140831,486.907457215902,421.967460206534,404.544034824699,62.8187650032995,72.2947133552856,147.373408589297,100,45.3466026301204,12.1665103731317,282.486886947882
"R",0.5267,1.1924381522025,1.42285349053929,4,1.00000000073812,0.867494975595514,0.833109373550515,483.770187140438,419.668206377467,403.0334772535,62.3523311095925,71.7132954339879,149.191560463595,100,45.0517085484849,11.6911046952997,283.257187007175
"R",0.5317,1.20375805112222,1.41326431500725,4,0.999999998720465,0.868329285874059,0.835273374211886,480.509866487636,417.240789756522,401.357098036781,61.8732089607823,71.1206884124311,150.999049858828,100,44.768042367778,11.2390099651387,283.992947232041
"R",0.5367,1.21507795004193,1.4033323369484,4,0.999999998264143,0.869131881193826,0.83734109500805,477.132993734222,414.691497143712,399.523064131398,61.3821375929404,70.5175070314562,152.79632767834,100,44.4951598039079,10.8088673031636,284.695972302737
"R",0.5417,1.22639784896164,1.39307575843088,4,0.999999999371241,0.86990403280103,0.839317581464333,473.645757568691,412.026354887168,397.539211963352,60.8798151348431,69.9043292537076,154.583833309323,100,44.2326286338718,10.399393454477,285.367977697873
"R",0.5467,1.23771774788135,1.3825119017199,4,0.999999998815036,0.870646992553855,0.841207640702923,470.054046027769,409.251141996797,395.413055530433,60.3668992207841,69.2817048242761,156.361993793934,100,43.9800221288014,10.009379629317,286.010597838994
"R",0.5517,1.24903764680107,1.37165719815986,4,0.999999999979168,0.871361994226244,0.843015853025265,466.363447364637,406.371383538342,393.151779408093,59.844008256034,68.6501543687622,158.131227403794,100,43.7369219559942,9.63768800833275,286.62539002859
"R",0.5567,1.26035754572078,1.36052720495884,4,0.999999999929945,0.872050236127963,0.844746562633021,462.5792496536,403.392343916577,390.762231117615,59.3117221691957,68.0101692436142,159.891939882417,100,43.502919692674,9.28324898828024,287.213831295227
"R",0.5617,1.27167744464049,1.34913665173481,4,0.999999999841804,0.872712878511167,0.846403881943809,458.706461517271,400.319036485738,388.250929762347,58.7705863884272,67.3622128997834,161.644520572685,100,43.2776212524164,8.9450588329016,287.777319860895
