"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.Q","f.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.Q","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"35",0.34,0.271816829417645,4,1.26073021942856,13.0365109644848,0.655187158775334,3.31038087687363,0.146605727061232,0.344675640869809,0.109324854633966,6.34899748813265,10.2704220119514,10.1515401728786,1.17519327904698,0.720947881516818,3.02789337251662,0.418225619670711,0.0224097512742454,2.27012352714722,0.100634795487464,49.874590212219,80.6793655392176,8.40037151999846,10,1e-05,18.3995642187937,13.3213822883574,8.19781562784414,16.0011615173736,2.41838924129129,63.7512065352798,20.2207251130984,146.689755498095
"36",0.35,0.247107331964246,4,1.26073026245175,13.0365131225736,0.655187335185106,3.31038011736518,0.146605722022941,0.344675579880708,0.109324792687021,7.18926488076694,11.2974162412084,10.1515432198328,1.06836241986862,0.655410319943263,2.75264373994123,0.380206778343706,0.0203725943517284,2.06375819429134,0.0914865646746935,51.3414298342995,80.6793897396365,7.63673934123361,10,1e-05,18.3995563346966,13.3213804365946,8.19781090781847,16.0011557137022,2.41838817055686,63.7511952547358,20.2207136553914,146.689799526584
"37",0.36,0.222396598768363,4,1.26073025826894,13.0365129134326,0.655187319059721,3.31038018003737,0.146605722390063,0.344675585267253,0.109324797374532,8.21630249101525,12.5526843612791,10.1515429358592,0.961526174693981,0.589869272203969,2.47737928942722,0.342186104181567,0.0183353348594528,1.85738236710102,0.0823379101068009,52.8083263523154,80.6793874827416,6.87306513553373,10,1e-05,18.3995572676618,13.3213807004618,8.19781133164791,16.0011562373151,2.41838826640815,63.751196251031,20.2207145223935,146.689795423165
"38",0.37,0.197684630668961,4,1.26073025751288,13.0365128751743,0.655187305563362,3.31038031011083,0.146605722709202,0.344675598017509,0.109324808281476,9.5001717743739,14.1218578762995,10.1515427620864,0.854684593476651,0.524324969588241,2.20210114470199,0.304163540592562,0.0162979736093034,1.6509962369386,0.0731888009087811,54.275296711904,80.6793860745755,6.10935286585288,10,1e-05,18.3995557636239,13.3213798132337,8.19781154481945,16.0011565213216,2.41838829850899,63.7511986093185,20.2207165397417,146.689792912148
"39",0.38,0.17297390029613,4,1.2607301999039,13.0365100020403,0.655187100413445,3.31038099181092,0.146605730555611,0.344675643171017,0.109324865967275,11.1507860429754,16.1392743482081,10.1515390417619,0.747848329943175,0.458783771276377,1.92683601726226,0.266142885374888,0.0142607141482189,1.4446202744336,0.0640401626768148,55.74217414809,80.6793564036106,5.34567644664331,10,1e-05,18.3995706459615,13.3213850353344,8.19781698880003,16.0011643247828,2.41838964187834,63.7512069609113,20.2207272093072,146.689739153459
"40",0.39,0.14826437855055,4,1.26073023672559,13.0365118155315,0.655187236676566,3.31038046912893,0.146605723519238,0.344675606211925,0.109324823133546,13.3514916260269,18.8290266340516,10.151541486888,0.641017349656091,0.393246068638504,1.65158568790211,0.22812404622595,0.0122235546340434,1.23825468415134,0.0548919395952258,57.2090125901514,80.6793766524121,4.58204191216547,10,1e-05,18.3995633493982,13.321382016889,8.1978133819688,16.0011587116995,2.41838876269863,63.7512001249576,20.2207192867806,146.689774485532
"41",0.4,0.123553665982277,4,1.2607302607849,13.0365130392452,0.655187328162112,3.31038014877805,0.146605722341053,0.34467558262966,0.109324794949807,16.4326052477958,22.5948322157231,10.1515431000252,0.534181209228721,0.327705156258531,1.37632185269863,0.190103390466062,0.0101862971730476,1.03187909578383,0.0457432828589386,58.6759191181379,80.6793887874534,3.81836960530539,10,1e-05,18.3995566068827,13.3213804844132,8.19781109237224,16.0011559451969,2.41838823867297,63.7511957631818,20.2207140739164,146.689797795364
"42",0.41,0.0988417003105949,4,1.2607302586938,13.0365129340171,0.655187317737569,3.31038019845459,0.146605722905535,0.344675586914449,0.109324799039997,21.0545633198264,28.2438919483736,10.1515429370756,0.42733963809811,0.262160855609088,1.10104373284474,0.152080817580136,0.00814893614365238,0.82549298186753,0.0365941708338262,60.1428894132502,80.6793873730564,3.05465752145896,10,1e-05,18.399556968591,13.3213802972663,8.19781123660686,16.0011566271348,2.41838804741394,63.7511965556966,20.2207148304378,146.689795440743
"43",0.42,0.0741321991967577,4,1.26073064486965,13.0365322433277,0.655188807310872,3.31037438339336,0.1466056825523,0.344675150973771,0.109324305874415,28.7571332576872,37.6581506929639,10.1515691932638,0.320508821483614,0.196623572168211,0.825795438656189,0.114061920490016,0.00611177977286854,0.619127915452422,0.0274459016073572,61.609873445512,80.6795961751619,2.29102987235759,10,1e-05,18.3994725482637,13.3213555016475,8.19777210538919,16.0011059845669,2.41837947972576,63.7511159241086,20.2206236145318,146.690174842662
"44",0.43,0.0494214663750675,4,1.26073042864083,13.0365214320377,0.655187977122242,3.31037759941434,0.146605705128157,0.34467539074924,0.109324578777739,44.1626763609382,56.4871441824958,10.1515545338926,0.213672512063087,0.13108220172654,0.550529420670449,0.0760413222752458,0.0040745193125294,0.412751771967201,0.0182972930745472,63.0766840968674,80.6794796586416,1.52735021815011,10,1e-05,18.3995203020758,13.3213697706296,8.19779400850681,16.0011341229353,2.41838441741553,63.7511602729795,20.2206740907306,146.689963014749
"45",0.44,0.024470015219353,4,1.24203916489552,12.1019582446733,0.583621656653683,3.57439282041442,0.149095885197188,0.360712548067563,0.13385123335274,79.999999982362,100,8.8981873544718,0.104227020706639,0.0577717230704917,0.236899068061653,0.0393424034437632,0.00200698083839806,0.196529207012517,0.010192450023235,56.5746751746707,70.7183439839301,0.63881926036002,10,1e-05,22.9016018137027,14.3720900463735,10.2522661165008,18.5554932447922,2.86522449560842,66.7173928905765,24.7571241209229,128.578807272117
"46",0.45,9.33334525055792e-11,-1,1.04873227218801,2.43667932523969,0.000183024155723442,2.39238424977445,0.127015024013315,3.82513778584726e-05,0.00604105889846055,36.5305188742763,44.6722836903569,1.51912777798138e-08,3.35670176933532e-10,3.81189603291517e-11,2.58580926434236e-13,9.02634895133568e-11,6.00572485013422e-12,5.18815115361783e-13,1.14516738040491e-11,9.85351120575008e-08,1.20496193728948e-07,3.7071038805284e-13,10,1e-05,161.065162100685,0.0528937175873181,92.9015565454106,26.3732281100989,7.48235024044525,0.0070749748487031,1.11735425385926,2.19513963918309e-07
