"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"26",0.25,0.763767234302301,4,1.24550422370663,12.2752111853166,0.587325882552075,3.62425545055764,0.138754321968084,0.404792098947784,0.11811746092227,1.47909431203488,9.03747017581869,214.988221473007,2118.84132603182,101.379139878916,625.587788984303,23.9505770705742,69.8717288650545,20.3884196980192,255.308532466382,1559.97033388805,5.19751744220458,3.38844854298202,14.617826309421,1.76847702839697,0.0855606463046508,10.0735430126572,0.475172326401003,25.5308532466382,40.9860144317455,10,1e-05,17.7868674160782,10.1875538726674,6.08949175152599,12.4751466200114,1.70388861342893,58.5491291918074,17.0845095477972,102.123412986751
"27",0.26,0.753583161639225,4,1.24550421612309,12.275210813915,0.587325865327941,3.62425543831025,0.138754330099631,0.404792094895328,0.118117455649968,1.55904934359196,9.03746979062378,212.121567134751,2090.58863153601,100.027347446429,617.246199024539,23.6312214494805,68.9400585091797,20.1165596022073,265.521373370002,1539.16962311642,5.12821371095002,3.34326675027048,14.4229115021737,1.74489609613269,0.0844197859662116,9.93922250819309,0.468836367936604,26.5521373370002,40.4395045754257,10,1e-05,17.7868695264106,10.1875552032563,6.08949149528883,12.4751488499963,1.70388886505052,58.5491286056602,17.0845087852114,102.123408634049
"28",0.27,0.74340010805441,4,1.24550422726766,12.2752113633559,0.587325907514893,3.62425529151156,0.138754322789478,0.404792081801996,0.118117448320688,1.64118690273487,9.03747052468948,209.255202832059,2062.33892058355,98.6757003427981,608.905421223781,23.3118951533655,68.0084798813652,19.8447263889046,275.733225707711,1518.37118359795,5.05891699154429,3.29808997636973,14.2280182152283,1.72131756721547,0.0832790300268425,9.80491524802136,0.462501036924014,27.5733225707712,39.89305629289,10,1e-05,17.7868673958365,10.1875547835764,6.08949145935803,12.4751464446797,1.70388855073746,58.5491267118407,17.0845077251043,102.123416928991
"29",0.28,0.733216544932289,4,1.24550422531079,12.2752112653887,0.587325885155302,3.62425542931827,0.138754329788937,0.404792092317215,0.118117455311406,1.72561004949862,9.03747027429185,206.388692880494,2034.08768626483,97.3239747154085,600.564273907124,22.9925552837861,67.0768586119114,19.5728819803948,285.945559477002,1497.57153685447,4.989616750957,3.25291058963912,14.0331133602174,1.69773793059991,0.0821382249460816,9.67060129764927,0.456165419407435,28.5945559477002,39.3465745783815,10,1e-05,17.7868671005255,10.1875531257009,6.08949183855861,12.4751480428444,1.70388882455197,58.549128232762,17.0845087362417,102.123414099498
"30",0.29,0.723032981804608,4,1.2455042277133,12.2752113856697,0.587325895296228,3.62425536922497,0.138754331980014,0.404792085421853,0.11811744916604,1.81241139704942,9.03747045973119,203.522183648716,2005.83648804455,95.9722545009628,592.223093613653,22.6732145960984,66.1452344485638,19.3010353930508,296.157906966357,1476.77196247033,4.92031652777117,3.20773131551935,13.8382092619473,1.67415820888949,0.0809974177431973,9.53628744592122,0.449829775444359,29.6157906966357,38.8000955450906,10,1e-05,17.7868669825589,10.1875529029926,6.08949171017327,12.4751483257722,1.70388880072652,58.5491272354169,17.0845078473761,102.123416194962
"31",0.3,0.712848908942819,4,1.24550421762224,12.2752109101369,0.58732586007855,3.6242555360678,0.13875432770628,0.404792101397125,0.118117466771867,1.90169713820483,9.03746979429543,200.655528911147,1977.58377917951,94.6204592725028,583.881532643194,22.3538568723326,65.2135673694922,19.0291790532838,306.370737004633,1455.97120903758,4.8510127868629,3.16254956984822,13.6432942079309,1.65057739771334,0.0798565486563632,9.40196654036537,0.443493863314329,30.6370737004633,38.2535840603837,10,1e-05,17.7868679673239,10.1875539671063,6.08949225093983,12.4751481717353,1.70388889620255,58.5491295460802,17.0845103938829,102.123408675538
"32",0.31,0.702665855557115,4,1.24550422550996,12.2752112755094,0.587325887639968,3.62425542550055,0.13875432344211,0.404792093775389,0.118117460433455,1.99356192507995,9.03747029477911,197.789164041258,1949.33403426934,93.2688094964399,575.540761885611,22.0345311389759,64.2819897343694,18.7573460445259,316.58258442648,1435.17272606617,4.78171605374471,3.11737268067701,13.4484003331686,1.62699885522535,0.0787157956309895,9.26765949114385,0.437158540268514,31.658258442648,37.7071341384969,10,1e-05,17.7868673193936,10.187553409428,6.08949162187806,12.4751467603583,1.70388863711989,58.5491284436722,17.0845094770949,102.123414331004
"33",0.32,0.692482292433208,4,1.24550422489799,12.2752112448811,0.587325888905933,3.62425542321557,0.138754324949148,0.404792099904405,0.118117451566839,2.08813316677732,9.03747026396103,194.922654321728,1921.08281158831,91.9170878178192,567.199591065988,21.7151903438327,63.350367653948,18.4854990620463,326.794924745284,1414.37311651774,4.71241581876706,3.07219335063782,13.253496072773,1.60341916635848,0.0775749875749745,9.13334596095275,0.430822888098189,32.6794924745284,37.1606532630689,10,1e-05,17.7868667995413,10.1875541134293,6.089491801868,12.4751470195294,1.70388875815446,58.5491293301732,17.0845081946276,102.12341398276
"34",0.33,0.682298220090879,4,1.24550417120276,12.2752085650528,0.587325699474955,3.62425600274402,0.138754323870543,0.40479213213932,0.118117511950675,2.18553155675701,9.03746685894525,192.055993082795,1892.82976787065,90.5652691365787,558.85809288066,21.3958331747334,62.4187029859918,18.213649205405,337.007649794872,1393.57194674944,4.64311192068295,3.02701064219968,13.0585762189019,1.57983832843737,0.0764341151781235,8.99902352808723,0.42448703862297,33.7007649794872,36.614128734484,10,1e-05,17.7868795742882,10.1875574740422,6.08949599874648,12.4751511182264,1.70388938522432,58.5491339926313,17.0845169285456,102.123375506081
"35",0.34,0.672115166184086,4,1.24550422707557,12.2752113537955,0.587325896435311,3.62425537574743,0.138754325300549,0.404792093908742,0.118117448980906,2.28587309111079,9.03747042648184,189.189635407436,1864.58039249424,89.213645202025,550.517242941076,21.0765083282395,61.48712063565,17.9418075203355,347.219613786731,1372.77393189276,4.57381536149845,2.98183474923114,12.863687503004,1.55625975629324,0.075293370739853,8.86471811340238,0.418151622535278,34.7219613786731,36.0676939638674,10,1e-05,17.7868670235313,10.1875536112865,6.08949162361025,12.4751469146714,1.70388872402,58.5491284629604,17.0845078205983,102.123415819245
